id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,MODEL,BRAND
MCO538044817,MCO,Petalos De Rosa Artificiales  Flores Decorativo Petalo Rojo,9999,,COP,1,50,buy_it_now,gold_special,2039-10-08T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-538044817-petalos-de-rosa-artificiales-flores-decorativo-petalo-rojo-_JM,http://http2.mlstatic.com/D_849269-MCO32526120386_102019-I.jpg,849269-MCO32526120386_102019,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,40,True,,,,,,117759656,,,False,False,,MCO538044817,"[{'id': 'c4989fbf-de46-441c-807b-0098b7491b23', 'type': 'standard', 'amount': 9999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-06T07:02:43Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,277.75,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JPUzQwMzcw,Bosa,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Bosa,,,5,Nuevo,5,0,1,1,,STUDIOG
MCO560230270,MCO,Porta Tarjeta Pequeño 23.5cm Arreglos Florales X 100 Uds,21500,,COP,1,150,buy_it_now,gold_special,2040-04-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-560230270-porta-tarjeta-pequeno-235cm-arreglos-florales-x-100-uds-_JM,http://http2.mlstatic.com/D_973462-MCO41611898687_052020-I.jpg,973462-MCO41611898687_052020,True,,MCO164719,,MCO-VASES,,39,True,,,,,,486917123,,,False,False,,MCO560230270,"[{'id': '6', 'type': 'standard', 'amount': 21500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-06T19:04:51Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'standard', 'amount': 17350, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-06T19:04:51Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,597.22,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,False,me2,[],drop_off,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,2,Nuevo,7,1,1,1,Porta Tarjetas Pequeño,
MCO568026648,MCO,Planta Artificial Decorativa Sintética 70 Cms Alto  Maceta,75900,,COP,1,25,buy_it_now,gold_special,2040-06-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568026648-planta-artificial-decorativa-sintetica-70-cms-alto-maceta-_JM,http://http2.mlstatic.com/D_835171-MCO46276191801_062021-I.jpg,835171-MCO46276191801_062021,True,,MCO378397,,MCO-ARTIFICIAL_PLANTS,,38,True,,,,,,238771023,,,False,False,,MCO568026648,"[{'id': '5', 'type': 'standard', 'amount': 75900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-16T05:13:55Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2108.33,0,COP,CO-RIS,Risaralda,TUNPQ0RPU2E2OGE1,Dosquebradas,True,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Risaralda,Dosquebradas,,,2,Nuevo,6,1,1,1,,
MCO610315990,MCO,Flores Rosas En Foamy 3 Cm - Foami Paquete X 100 Unidades,15900,,COP,100,150,buy_it_now,gold_special,2041-03-13T16:38:12.000Z,new,https://articulo.mercadolibre.com.co/MCO-610315990-flores-rosas-en-foamy-3-cm-foami-paquete-x-100-unidades-_JM,http://http2.mlstatic.com/D_637623-MCO45191160135_032021-O.jpg,637623-MCO45191160135_032021,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,37,False,,,,,,584710258,,,False,False,,MCO610315990,"[{'id': '1', 'type': 'standard', 'amount': 15900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-03-03T22:02:41Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '39', 'type': 'promotion', 'amount': 13833, 'regular_amount': 15900, 'currency_id': 'COP', 'last_updated': '2021-12-24T02:20:33Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-24T02:19:32Z', 'end_time': '2021-12-31T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO3214001', 'promotion_id': 'MCO610315990-64f994ee-1813-4796-828a-d263b62b296d', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 477, 'campaign_discount_percentage': 13, 'campaign_end_date': '2021-12-31T04:00:00Z', 'order_item_price': 14310}}]",{'display_currency': 'COP'},[],[],[],36,441.67,0,COP,CO-MET,Meta,TUNPQ0FDQTczNWEx,Acacias,False,me2,[],drop_off,False,,,,,Colombia,Meta,Acacias,,,5,Nuevo,6,1,1,1,,
MCO550913849,MCO,Rosas Pequeñas Matas Flores Artificiales Decoración  119-7c,12900,,COP,1,50,buy_it_now,gold_special,2040-01-24T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-550913849-rosas-pequenas-matas-flores-artificiales-decoracion-119-7c-_JM,http://http2.mlstatic.com/D_806015-MCO48945765642_012022-I.jpg,806015-MCO48945765642_012022,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,36,True,,,,,,432789495,,,False,False,,MCO550913849,"[{'id': '3', 'type': 'standard', 'amount': 12900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-05T14:20:27Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'standard', 'amount': 12000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-05T14:20:26Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,358.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,5,Nuevo,7,1,1,1,,MAZUGI
MCO608632718,MCO,Cercha Malla Expandible Enredadera Artificial Follaje Decora,79900,,COP,1,50,buy_it_now,gold_pro,2041-02-17T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-608632718-cercha-malla-expandible-enredadera-artificial-follaje-decora-_JM,http://http2.mlstatic.com/D_664054-MCO44963719930_022021-I.jpg,664054-MCO44963719930_022021,True,,MCO378397,,MCO-ARTIFICIAL_PLANTS,,35,True,,,,,,147832908,,,False,False,,MCO608632718,"[{'id': '9', 'type': 'standard', 'amount': 79900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-21T23:53:23Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '3', 'type': 'promotion', 'amount': 52155, 'regular_amount': 54900, 'currency_id': 'COP', 'last_updated': '2021-07-28T13:53:22Z', 'conditions': {'context_restrictions': [], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-07-30T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '374419-MCO608632718', 'promotion_type': 'custom'}}, {'id': '4', 'type': 'promotion', 'amount': 49410, 'regular_amount': 54900, 'currency_id': 'COP', 'last_updated': '2021-07-28T13:53:22Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-07-30T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '374419-MCO608632718', 'promotion_type': 'custom'}}, {'id': '5', 'type': 'promotion', 'amount': 49410, 'regular_amount': 54900, 'currency_id': 'COP', 'last_updated': '2021-07-28T13:53:22Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-07-30T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '374419-MCO608632718', 'promotion_type': 'custom'}}, {'id': '6', 'type': 'promotion', 'amount': 49410, 'regular_amount': 54900, 'currency_id': 'COP', 'last_updated': '2021-07-28T13:53:22Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-07-30T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '374419-MCO608632718', 'promotion_type': 'custom'}}, {'id': '7', 'type': 'promotion', 'amount': 49410, 'regular_amount': 54900, 'currency_id': 'COP', 'last_updated': '2021-07-28T13:53:22Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-07-30T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '374419-MCO608632718', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,6658.33,0,COP,CO-ANT,Antioquia,TUNPQ0lUQThkMzc5,Itaguí,True,me2,['mandatory_free_shipping'],cross_docking,False,,,,,Colombia,Antioquia,Itaguí,,,2,Nuevo,5,0,1,1,,
MCO643570699,MCO,Pájaros Artificiales Para Eventos  Paloma Adorno  X2 Und,13900,,COP,1,5,buy_it_now,gold_special,2041-07-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-643570699-pajaros-artificiales-para-eventos-paloma-adorno-x2-und-_JM,http://http2.mlstatic.com/D_717026-MCO46558920437_062021-I.jpg,717026-MCO46558920437_062021,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,34,True,,,,,,432789495,,,False,False,,MCO643570699,"[{'id': '1', 'type': 'standard', 'amount': 13900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-07T21:36:45Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,386.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,4,Nuevo,5,0,1,1,,mazugi
MCO579686581,MCO,Enredadera 1 Paquete X 12und De210 Cm Hoja Gotas Grande ,60900,,COP,1,25,buy_it_now,gold_special,2040-08-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-579686581-enredadera-1-paquete-x-12und-de210-cm-hoja-gotas-grande-_JM,http://http2.mlstatic.com/D_748248-MCO43298937169_082020-I.jpg,748248-MCO43298937169_082020,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,33,True,,,,,,432789495,,,False,False,,MCO579686581,"[{'id': '4', 'type': 'standard', 'amount': 60900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-13T19:19:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1691.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,2,Nuevo,6,1,1,1,,
MCO612603993,MCO,Jardines Eventos Matas Rosas Flores Artificiales  121-2,16900,,COP,1,5,buy_it_now,gold_special,2041-03-13T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-612603993-jardines-eventos-matas-rosas-flores-artificiales-121-2-_JM,http://http2.mlstatic.com/D_643466-MCO45256715405_032021-I.jpg,643466-MCO45256715405_032021,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,32,True,,,,,,432789495,,,False,False,,MCO612603993,"[{'id': '1', 'type': 'standard', 'amount': 16900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-03-18T16:26:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,469.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,5,Nuevo,5,0,1,1,,mazugi
MCO615542497,MCO,Esfera Follaje Sintetica 30 Cm Decorativo Ref B35,28900,,COP,1,5,buy_it_now,gold_pro,2041-04-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-615542497-esfera-follaje-sintetica-30-cm-decorativo-ref-b35-_JM,http://http2.mlstatic.com/D_877858-MCO45484808354_042021-I.jpg,877858-MCO45484808354_042021,True,,MCO378397,,MCO-ARTIFICIAL_PLANTS,,31,True,,,,,,453113430,,,False,False,,MCO615542497,"[{'id': '9', 'type': 'standard', 'amount': 28900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-26T17:58:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,2408.33,0,COP,CO-SAN,Santander,TUNPQ0JVQzkzMTE4,Bucaramanga,False,me2,[],drop_off,False,,,,,Colombia,Santander,Bucaramanga,,,2,Nuevo,4,0,0,1,,
