id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO551157352,MCO,Shampoo Control Caspa Zepilar 3 Unidades 180 (540) Ml,78000,,COP,1,200,buy_it_now,gold_special,2040-01-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-551157352-shampoo-control-caspa-zepilar-3-unidades-180-540-ml-_JM,http://http2.mlstatic.com/D_710391-MCO40622152597_012020-I.jpg,710391-MCO40622152597_012020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,28,True,,,,,,388680094,,,False,False,,MCO551157352,"[{'id': '3', 'type': 'standard', 'amount': 78000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-13T17:37:06Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '4', 'type': 'promotion', 'amount': 74100, 'regular_amount': 78000, 'currency_id': 'COP', 'last_updated': '2021-12-20T11:53:34Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-27T05:00:00Z', 'end_time': '2021-12-28T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1347347-MCO551157352', 'promotion_type': 'deal_of_the_day'}}]",{'display_currency': 'COP'},[],[],[],36,2166.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Icom,Nuevo,5,0,1,1
MCO605907093,MCO,Kit Milagros Shampoo 2 Tratamientos Cepillo Bambu Obsequios ,124999,,COP,1,150,buy_it_now,gold_special,2041-01-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-605907093-kit-milagros-shampoo-2-tratamientos-cepillo-bambu-obsequios-_JM,http://http2.mlstatic.com/D_951941-MCO44809853138_022021-I.jpg,951941-MCO44809853138_022021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,27,True,,,,,,232567954,,,False,False,,MCO605907093,"[{'id': '4', 'type': 'standard', 'amount': 124999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-10T17:32:58Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '4', 'type': 'standard', 'amount': 121999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-22T00:01:24Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,3472.19,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,3,milagros,Nuevo,5,0,0,1
MCO538523672,MCO,Tec Italy Lumina Shampoo Y Acondicionador 300ml.,79900,,COP,1,100,buy_it_now,gold_special,2040-06-01T00:46:58.000Z,new,https://articulo.mercadolibre.com.co/MCO-538523672-tec-italy-lumina-shampoo-y-acondicionador-300ml-_JM,http://http2.mlstatic.com/D_951212-MCO44438299596_122020-I.jpg,951212-MCO44438299596_122020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,26,True,,,,,,149996738,,,False,False,,MCO538523672,"[{'id': '12', 'type': 'standard', 'amount': 79900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-31T15:14:05Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2219.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['fulfillment', 'fs_threshold_mco_change_apr2021', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,6,Tec Italy,Nuevo,7,0,1,1
MCO814303324,MCO,Tratamiento Color Prokpil 300ml - mL a $75,22390,,COP,1,50,buy_it_now,gold_special,2041-11-11T23:01:23.000Z,new,https://articulo.mercadolibre.com.co/MCO-814303324-tratamiento-color-prokpil-300ml-_JM,http://http2.mlstatic.com/D_666169-MCO47937877372_102021-O.jpg,666169-MCO47937877372_102021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,25,False,,,,,,149996738,,,False,False,,MCO814303324,"[{'id': '7', 'type': 'standard', 'amount': 22390, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T22:52:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '6', 'type': 'promotion', 'amount': 20890, 'regular_amount': 21990, 'currency_id': 'COP', 'last_updated': '2022-02-01T16:22:24Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-05T11:00:00Z', 'end_time': '2022-02-05T17:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1546710-MCO814303324', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,621.94,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,"['fulfillment', 'self_service_out']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,PROKPIL,Nuevo,8,1,1,1
MCO625914593,MCO,Milagro Herbal  Tónico Revitalizante Capilar Shampoo Milagro,41999,,COP,1,100,buy_it_now,gold_special,2041-05-16T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-625914593-milagro-herbal-tonico-revitalizante-capilar-shampoo-milagro-_JM,http://http2.mlstatic.com/D_994315-MCO46119074174_052021-I.jpg,994315-MCO46119074174_052021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,24,True,,,,,,232567954,,,False,False,,MCO625914593,"[{'id': '27', 'type': 'standard', 'amount': 41999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-10T17:35:17Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '26', 'type': 'standard', 'amount': 40999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-10T17:35:02Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1166.64,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,2,milagros,Nuevo,6,0,1,1
MCO536116726,MCO,Shampoo Y Acondicionador Magic Hair Crecimiento ,65000,,COP,50,200,buy_it_now,gold_pro,2039-09-26T16:30:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-536116726-shampoo-y-acondicionador-magic-hair-crecimiento-_JM,http://http2.mlstatic.com/D_915053-MCO32386351544_102019-I.jpg,915053-MCO32386351544_102019,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,23,True,,,,,,270215667,,,False,False,,MCO536116726,"[{'id': '4', 'type': 'standard', 'amount': 65000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-21T12:40:05Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,5416.67,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,[],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,5,Magic Hair,Nuevo,6,1,1,1
MCO823981694,MCO,Kit Herbacol Sh + Protec. Color - mL a $40,38500,,COP,1,50,buy_it_now,gold_special,2042-01-15T16:02:37.000Z,new,https://articulo.mercadolibre.com.co/MCO-823981694-kit-herbacol-sh-protec-color-_JM,http://http2.mlstatic.com/D_982796-MCO48111411237_112021-O.jpg,982796-MCO48111411237_112021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,22,False,,,,,,149996738,,,False,False,,MCO823981694,"[{'id': '4', 'type': 'standard', 'amount': 38500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-01T17:04:09Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1069.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,"['fulfillment', 'self_service_out']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Herbacol,Nuevo,7,1,0,1
MCO545745753,MCO,Champu Babaria Cebolla 600 Ml Extra Contenido 100 Ml,17600,,COP,1,500,buy_it_now,gold_special,2039-12-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-545745753-champu-babaria-cebolla-600-ml-extra-contenido-100-ml-_JM,http://http2.mlstatic.com/D_931447-MCO43791642554_102020-I.jpg,931447-MCO43791642554_102020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,21,True,,,,,,388680094,,,False,False,,MCO545745753,"[{'id': '7', 'type': 'standard', 'amount': 17600, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-27T21:46:02Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,488.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,babaria,Nuevo,5,0,1,1
MCO509996526,MCO,Bonacure Shampoo Color Freeze Sin Sulfatos 250ml Schwarzkopf,59900,,COP,1,200,buy_it_now,gold_special,2041-08-21T22:16:37.000Z,new,https://articulo.mercadolibre.com.co/MCO-509996526-bonacure-shampoo-color-freeze-sin-sulfatos-250ml-schwarzkopf-_JM,http://http2.mlstatic.com/D_719075-MCO32922787284_112019-O.jpg,719075-MCO32922787284_112019,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,20,False,,,,,,149996738,,,False,False,,MCO509996526,"[{'id': '3', 'type': 'standard', 'amount': 59900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-09T19:04:58Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '4', 'type': 'promotion', 'amount': 56905, 'regular_amount': 59900, 'currency_id': 'COP', 'last_updated': '2022-02-01T16:21:52Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-05T23:00:00Z', 'end_time': '2022-02-06T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1546632-MCO509996526', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,1663.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,5,Schwarzkopf Professional,Nuevo,8,1,1,1
MCO501761382,MCO,Fanola No Yellow Shampoo Y Mascarilla 100ml C/u Porcionado,35000,,COP,250,500,buy_it_now,gold_special,2039-04-05T16:01:21.000Z,new,https://articulo.mercadolibre.com.co/MCO-501761382-fanola-no-yellow-shampoo-y-mascarilla-100ml-cu-porcionado-_JM,http://http2.mlstatic.com/D_616656-MCO40971801393_032020-I.jpg,616656-MCO40971801393_032020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,19,True,,,,,,149996738,,,False,False,,MCO501761382,"[{'id': '9', 'type': 'standard', 'amount': 35000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-21T23:45:32Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,972.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Fanola,Nuevo,6,1,1,1
