id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO801681263,MCO,Asesino De Brujas X 3 ,55000,,COP,500,50,buy_it_now,gold_special,2041-08-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-801681263-asesino-de-brujas-x-3-_JM,http://http2.mlstatic.com/D_857762-MCO47308067364_082021-I.jpg,857762-MCO47308067364_082021,True,,MCO1196,,MCO-BOOKS,,29,True,,,,,,794754488,,,False,False,,MCO801681263,"[{'id': '1', 'type': 'standard', 'amount': 55000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-31T16:19:29Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1527.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,5,0,1,1
MCO584440730,MCO,El Poder De La Mente Subconsciente Nuevo Y Original,20500,,COP,1,250,buy_it_now,gold_special,2041-05-02T15:15:47.000Z,new,https://articulo.mercadolibre.com.co/MCO-584440730-el-poder-de-la-mente-subconsciente-nuevo-y-original-_JM,http://http2.mlstatic.com/D_655681-MCO48930032402_012022-I.jpg,655681-MCO48930032402_012022,True,,MCO1196,,MCO-BOOKS,,28,True,,,,,,394380898,,,False,False,,MCO584440730,"[{'id': '2', 'type': 'standard', 'amount': 20500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-26T00:51:12Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,569.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,6,1,1,1
MCO578434962,MCO,Como Ganar Amigos E Influir Sobre Las Personas( Originales),25000,,COP,1,200,buy_it_now,gold_special,2040-08-17T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-578434962-como-ganar-amigos-e-influir-sobre-las-personas-originales-_JM,http://http2.mlstatic.com/D_871270-MCO48957293104_012022-I.jpg,871270-MCO48957293104_012022,True,,MCO1196,,MCO-BOOKS,,27,True,,,,,,515528688,,,False,False,,MCO578434962,"[{'id': '48', 'type': 'standard', 'amount': 25000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-25T21:23:21Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '47', 'type': 'promotion', 'amount': 21850, 'regular_amount': 23000, 'currency_id': 'COP', 'last_updated': '2021-11-02T03:36:31Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-11-04T11:00:00Z', 'end_time': '2021-11-04T17:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '965421-MCO578434962', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,694.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ0NBTjU1NTU5,La Candelaria,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,La Candelaria,,,4,Nuevo,5,1,1,1
MCO655328266,MCO,"Yolo Aventuras ,la Mansión De Las Pesadillas (nuevo Y Origin",44000,,COP,1,200,buy_it_now,gold_special,2041-08-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-655328266-yolo-aventuras-la-mansion-de-las-pesadillas-nuevo-y-origin-_JM,http://http2.mlstatic.com/D_916153-MCO47236027430_082021-I.jpg,916153-MCO47236027430_082021,True,,MCO1196,,MCO-BOOKS,,26,True,,,,,,394380898,,,False,False,,MCO655328266,"[{'id': '4', 'type': 'standard', 'amount': 44000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-13T19:46:16Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1222.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,5,0,1,1
MCO591393666,MCO,El Joven De Caracter. Mons.  Tihamer Toth,45000,,COP,1,5,buy_it_now,gold_special,2040-10-19T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-591393666-el-joven-de-caracter-mons-tihamer-toth-_JM,http://http2.mlstatic.com/D_905006-MCO45075109215_032021-I.jpg,905006-MCO45075109215_032021,True,,MCO3043,,MCO-COMICS,,25,True,,,,,,216484233,,,False,False,,MCO591393666,"[{'id': '7a82e7c0-763a-40af-8164-79a48179013f', 'type': 'standard', 'amount': 45000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-19T17:16:27Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'standard', 'amount': 41900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-20T01:28:49Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1250.0,0,COP,CO-BOY,Boyaca,TUNPQ1RVTjFhNDk0,Tunja,False,me2,[],drop_off,False,,,,,Colombia,Boyaca,Tunja,,,2,Nuevo,4,0,1,1
MCO580181077,MCO,Cómo Ganar Amigos E Influir Sobre La Personas (  Original ),22000,,COP,1,150,buy_it_now,gold_special,2041-05-02T15:15:49.000Z,new,https://articulo.mercadolibre.com.co/MCO-580181077-como-ganar-amigos-e-influir-sobre-la-personas-original--_JM,http://http2.mlstatic.com/D_880497-MCO44797519697_022021-I.jpg,880497-MCO44797519697_022021,True,,MCO1196,,MCO-BOOKS,,24,True,,,,,,394380898,,,False,False,,MCO580181077,"[{'id': '3', 'type': 'standard', 'amount': 22000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-06T16:31:50Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,611.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,6,1,1,1
MCO650998203,MCO,Hábitos Atómicos,17000,,COP,500,50,buy_it_now,gold_special,2041-07-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-650998203-habitos-atomicos-_JM,http://http2.mlstatic.com/D_787173-MCO46903158620_072021-I.jpg,787173-MCO46903158620_072021,True,,MCO1196,,MCO-BOOKS,,23,True,,,,,,794754488,,,False,False,,MCO650998203,"[{'id': '1', 'type': 'standard', 'amount': 17000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-28T22:46:23Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,472.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,6,1,1,1
MCO813860501,MCO,Como El Arte De Comer Bien Para Estar Bien ( Original ),62000,,COP,1,150,buy_it_now,gold_special,2041-09-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-813860501-como-el-arte-de-comer-bien-para-estar-bien-original--_JM,http://http2.mlstatic.com/D_856114-MCO47661271787_092021-I.jpg,856114-MCO47661271787_092021,True,,MCO1196,,MCO-BOOKS,,22,True,,,,,,394380898,,,False,False,,MCO813860501,"[{'id': '5', 'type': 'standard', 'amount': 62000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-27T03:42:13Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1722.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,4,0,1,1
MCO839254116,MCO,Libro Dos Dias Y Medio. Crónicas De Guerra. My(r)samael Vera,48000,,COP,1,100,buy_it_now,gold_special,2041-11-30T15:07:07.000Z,new,https://articulo.mercadolibre.com.co/MCO-839254116-libro-dos-dias-y-medio-cronicas-de-guerra-myrsamael-vera-_JM,http://http2.mlstatic.com/D_840791-MCO48625852549_122021-I.jpg,840791-MCO48625852549_122021,True,,MCO1196,,MCO-BOOKS,,21,True,,,,,,36273634,,,False,False,,MCO839254116,"[{'id': '1', 'type': 'standard', 'amount': 48000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-05T14:55:06Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1333.33,0,COP,CO-CUN,Cundinamarca,TUNPQ1NPUGRhMDI5,Sopó,False,me2,[],drop_off,False,,,,,Colombia,Cundinamarca,Sopó,,,2,Nuevo,4,0,1,1
MCO572581085,MCO,Destroza Este Diario Smith Keri A Color (nuevo Y Original ),39000,,COP,1,250,buy_it_now,gold_special,2041-05-02T15:15:58.000Z,new,https://articulo.mercadolibre.com.co/MCO-572581085-destroza-este-diario-smith-keri-a-color-nuevo-y-original--_JM,http://http2.mlstatic.com/D_798847-MCO45392228564_032021-I.jpg,798847-MCO45392228564_032021,True,,MCO1196,,MCO-BOOKS,,20,True,,,,,,394380898,,,False,False,,MCO572581085,"[{'id': '5', 'type': 'standard', 'amount': 39000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-07T02:17:10Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1083.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,4,0,0,1
