id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,MODEL
MCO643415364,MCO,Condones Preservativos Económicos Tulip X60,16900,,COP,1,250,buy_it_now,gold_special,2041-07-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-643415364-condones-preservativos-economicos-tulip-x60-_JM,http://http2.mlstatic.com/D_666721-MCO46652856093_072021-I.jpg,666721-MCO46652856093_072021,True,,MCO180839,,MCO-CONDOMS,,50,True,,,,,,623785873,,,False,False,,MCO643415364,"[{'id': '4', 'type': 'standard', 'amount': 16900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-21T00:57:17Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,469.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ0tFTjQyODYy,Kennedy,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Kennedy,,,4,Tulip,Nuevo,6,1,1,1,
MCO565676090,MCO,Accesorios Lentes Cosméticos Con Kit,30000,,COP,100,500,buy_it_now,gold_pro,2041-12-31T15:09:47.000Z,new,https://articulo.mercadolibre.com.co/MCO-565676090-accesorios-lentes-cosmeticos-con-kit-_JM,http://http2.mlstatic.com/D_730541-MCO48898841797_012022-O.jpg,730541-MCO48898841797_012022,True,,MCO442284,,MCO-NON_CORRECTIVE_CONTACT_LENSES,,49,False,,,,,,181555723,,,False,False,,MCO565676090,"[{'id': '14', 'type': 'standard', 'amount': 30000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-01T17:19:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 33060, 'regular_amount': 34800, 'currency_id': 'COP', 'last_updated': '2021-12-31T17:25:26Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-31T05:00:00Z', 'end_time': '2022-01-05T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1406084-MCO565676090', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,2500.0,0,COP,CO-MET,Meta,TUNPQ0FDQTczNWEx,Acacias,False,me2,['fbm_in_process'],drop_off,False,,,,,Colombia,Meta,Acacias,,,3,.,Nuevo,6,1,1,1,3 tones
MCO834321245,MCO,"Báscula Digital Omron Hbf-514c Gris, Hasta 150 Kg",570000,,COP,1,5,buy_it_now,gold_special,2041-11-17T04:00:00.000Z,new,https://www.mercadolibre.com.co/bascula-digital-omron-hbf-514c-gris-hasta-150-kg/p/MCO7978594,http://http2.mlstatic.com/D_943824-MLA46222272725_052021-I.jpg,943824-MLA46222272725_052021,True,,MCO169104,,MCO-BODYWEIGHT_SCALES,MCO7978594,48,True,,,,,,278538554,,,False,False,,MCO834321245,"[{'id': '1', 'type': 'standard', 'amount': 570000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-22T16:23:39Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,15833.33,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,['mandatory_free_shipping'],cross_docking,False,,,,,Colombia,Antioquia,Medellín,,,4,Omron,Nuevo,4,0,1,1,HBF-514C
MCO833240266,MCO,Bisacodilo 5 Mg (humax) - Tab a $295,2950,,COP,100,150,buy_it_now,gold_special,2041-11-13T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-833240266-bisacodilo-5-mg-humax-_JM,http://http2.mlstatic.com/D_736996-MCO48270309453_112021-I.jpg,736996-MCO48270309453_112021,True,,MCO194674,1385,MCO-DIGESTIVE_MEDICINES,,47,True,,,,,,507646494,,,False,False,,MCO833240266,"[{'id': '2', 'type': 'standard', 'amount': 2950, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-24T13:43:08Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,81.94,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Humax,Nuevo,5,0,1,1,
MCO606558494,MCO,Condones Today 24 Unidades + Ob,47499,,COP,1,250,buy_it_now,gold_special,2042-02-06T15:33:50.000Z,new,https://articulo.mercadolibre.com.co/MCO-606558494-condones-today-24-unidades-ob-_JM,http://http2.mlstatic.com/D_652470-MCO44846936759_022021-I.jpg,652470-MCO44846936759_022021,True,49999,MCO180839,,MCO-CONDOMS,,46,True,,,,,,110187976,,,False,False,,MCO606558494,"[{'id': '12', 'type': 'standard', 'amount': 49999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-22T15:02:33Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '59', 'type': 'promotion', 'amount': 47499, 'regular_amount': 49999, 'currency_id': 'COP', 'last_updated': '2022-01-31T23:01:45Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-25T04:30:00Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3916', 'promotion_id': 'MCO3916', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,1319.42,0,COP,CO-ANT,Antioquia,TUNPQ1JJTzNmYmVk,Rionegro,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Rionegro,,,3,Today,Nuevo,6,1,1,1,
MCO634032225,MCO,Soporte 3d Para Tapabocas O Mascarilla Respira Mejor X1und,5990,,COP,1,250,buy_it_now,gold_special,2041-06-04T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-634032225-soporte-3d-para-tapabocas-o-mascarilla-respira-mejor-x1und-_JM,http://http2.mlstatic.com/D_985031-MCO46317850339_062021-O.jpg,985031-MCO46317850339_062021,True,,MCO445788,,MCO-REUSABLE_MASKS,,45,False,,,,,,44203704,,,False,False,,MCO634032225,"[{'id': '21', 'type': 'standard', 'amount': 5990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-11T13:41:18Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '20', 'type': 'standard', 'amount': 4000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-11T13:41:17Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,166.39,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,,Nuevo,7,1,1,1,
MCO508074251,MCO,Bascula Pesa Personas Digital Diagnostica ,84550,,COP,1,500,buy_it_now,gold_pro,2039-03-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-508074251-bascula-pesa-personas-digital-diagnostica-_JM,http://http2.mlstatic.com/D_652975-MCO44850592186_022021-O.jpg,652975-MCO44850592186_022021,True,89000,MCO169104,,MCO-BODYWEIGHT_SCALES,,44,False,,,,,,384407229,,,False,False,,MCO508074251,"[{'id': '14', 'type': 'standard', 'amount': 89000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-08T21:53:43Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '65', 'type': 'promotion', 'amount': 84550, 'regular_amount': 89000, 'currency_id': 'COP', 'last_updated': '2022-01-31T23:01:42Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-25T04:30:00Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3916', 'promotion_id': 'MCO3916', 'promotion_type': 'campaign'}}, {'id': '66', 'type': 'promotion', 'amount': 84550, 'regular_amount': 89000, 'currency_id': 'COP', 'last_updated': '2022-01-31T23:01:42Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,7045.83,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,True,me2,"['fs_threshold_mco_change_jul2021', 'self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,4,Super Look,Nuevo,4,0,0,1,3245
MCO548280808,MCO,Nebulizador Portatil Adulto Y Pediatrico Nube + Envio,159000,,COP,50,500,buy_it_now,gold_special,2040-01-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-548280808-nebulizador-portatil-adulto-y-pediatrico-nube-envio-_JM,http://http2.mlstatic.com/D_989553-MCO47727609764_102021-O.jpg,989553-MCO47727609764_102021,True,,MCO166750,783,MCO-NEBULIZERS,,43,False,,,,,,274997291,,,False,False,,MCO548280808,"[{'id': '17', 'type': 'standard', 'amount': 159000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-31T18:48:24Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,4416.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ0NIQTk2OTI1,Chapinero,True,me2,"['fulfillment', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Chapinero,,,4,GMD,Nuevo,7,1,1,1,Nube 3000
MCO633351595,MCO,Soporte 3d Para Tapabocas O Mascarilla Respira Mejor X4und,29990,,COP,50,500,buy_it_now,gold_special,2041-06-03T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-633351595-soporte-3d-para-tapabocas-o-mascarilla-respira-mejor-x4und-_JM,http://http2.mlstatic.com/D_985031-MCO46317850339_062021-O.jpg,985031-MCO46317850339_062021,True,,MCO445788,,MCO-REUSABLE_MASKS,,42,False,,,,,,44203704,,,False,False,,MCO633351595,"[{'id': '40', 'type': 'standard', 'amount': 29990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-11T14:01:36Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '39', 'type': 'standard', 'amount': 25000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-11T14:01:36Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,833.06,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,,Nuevo,7,1,1,1,
MCO641534713,MCO,Tensiómetro Digital De Muñeca Exacto En Caja Medidor + Cofre,62900,,COP,1,200,buy_it_now,gold_special,2041-06-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-641534713-tensiometro-digital-de-muneca-exacto-en-caja-medidor-cofre-_JM,http://http2.mlstatic.com/D_705122-MCO48824979918_012022-O.jpg,705122-MCO48824979918_012022,True,,MCO180837,,MCO-BLOOD_PRESSURE_MONITORS,,41,False,,,,,,736375189,,,False,False,,MCO641534713,"[{'id': '37', 'type': 'standard', 'amount': 62900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-08T01:52:15Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '39', 'type': 'promotion', 'amount': 59755, 'regular_amount': 62900, 'currency_id': 'COP', 'last_updated': '2022-02-14T23:07:25Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-16T05:00:00Z', 'end_time': '2022-02-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1591067-MCO641534713', 'promotion_type': 'deal_of_the_day'}}, {'id': '40', 'type': 'promotion', 'amount': 59755, 'regular_amount': 62900, 'currency_id': 'COP', 'last_updated': '2022-02-14T23:07:25Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-17T17:00:00Z', 'end_time': '2022-02-17T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1618614-MCO641534713', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,1747.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,Lemman,Nuevo,6,1,1,1,K1
