id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,BRAND
MCO605163043,MCO,Tatuajes De Agua Para Uñas 12 En 1 Stickers Acuarela Cora,11500,,COP,1,25,buy_it_now,gold_special,2041-01-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-605163043-tatuajes-de-agua-para-unas-12-en-1-stickers-acuarela-cora-_JM,http://http2.mlstatic.com/D_868670-MCO44767436297_012021-I.jpg,868670-MCO44767436297_012021,True,,MCO167683,,MCO-NAIL_STICKERS,,28,True,,,,,,12737083,,,False,False,,MCO605163043,"[{'id': '1', 'type': 'standard', 'amount': 11500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-01-31T22:47:51Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,319.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Suba,,,1,Nuevo,,5,0,1,1,
MCO591952501,MCO,Sticker Uñas Dorados Plateados Transferencia Agua 10 Unidade,11000,,COP,1,100,buy_it_now,gold_pro,2040-10-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-591952501-sticker-unas-dorados-plateados-transferencia-agua-10-unidade-_JM,http://http2.mlstatic.com/D_840320-MCO31027990414_062019-I.jpg,840320-MCO31027990414_062019,True,,MCO167683,,MCO-NAIL_STICKERS,,27,True,,,,,,132224200,,,False,False,,MCO591952501,"[{'id': '1', 'type': 'standard', 'amount': 11000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-04T03:18:24Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,916.67,0,COP,CO-TOL,Tolima,TUNPQ0lCQTI0NzNh,Ibagué,False,me2,[],drop_off,False,,,,,Colombia,Tolima,Ibagué,,,4,Nuevo,,5,0,1,1,
MCO618359614,MCO,Kit Pulidor De Uñas Electrico Removedor Acrílico Manicure ,27900,,COP,100,50,buy_it_now,gold_pro,2041-04-17T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-618359614-kit-pulidor-de-unas-electrico-removedor-acrilico-manicure-_JM,http://http2.mlstatic.com/D_721722-MCO45669232683_042021-I.jpg,721722-MCO45669232683_042021,True,,MCO181071,,MCO-FALSE_NAILS,,26,True,,,,,,263335107,,,False,False,,MCO618359614,"[{'id': '2', 'type': 'standard', 'amount': 27900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-08T20:25:57Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,2325.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,Nuevo,2022,4,0,0,1,SKY
MCO812371081,MCO,Kit De Pinceles X15 + Punzones X5,20900,,COP,1,5,buy_it_now,gold_special,2041-09-18T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-812371081-kit-de-pinceles-x15-punzones-x5-_JM,http://http2.mlstatic.com/D_721961-MCO47623598074_092021-I.jpg,721961-MCO47623598074_092021,True,,MCO167683,,MCO-NAIL_STICKERS,,25,True,,,,,,188371790,,,False,False,,MCO812371081,"[{'id': '1', 'type': 'standard', 'amount': 20900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-23T23:54:33Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,580.56,0,COP,CO-RIS,Risaralda,TUNPQ1BFUmMwMjJk,Pereira,False,me2,[],drop_off,False,,,,,Colombia,Risaralda,Pereira,,,1,Nuevo,,5,0,1,1,
MCO636819872,MCO,Kit 16 Pinturas Acrilicas Decoracion Uñas + Pincel Decorar,13000,,COP,50,50,buy_it_now,gold_pro,2041-06-12T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-636819872-kit-16-pinturas-acrilicas-decoracion-unas-pincel-decorar-_JM,http://http2.mlstatic.com/D_743028-MCO46424252838_062021-I.jpg,743028-MCO46424252838_062021,True,,MCO167683,,MCO-NAIL_STICKERS,,24,True,,,,,,21800034,,,False,False,,MCO636819872,"[{'id': '4', 'type': 'standard', 'amount': 13000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-12T14:26:43Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1083.33,0,COP,CO-NSA,Norte De Santander,TUNPQ0NVQzhhZDhm,Cúcuta,False,me2,[],drop_off,False,,,,,Colombia,Norte De Santander,Cúcuta,,,4,Nuevo,Kit X16,5,0,1,1,
MCO580744277,MCO,Kit Constructor De Uñas Acrilicas En Polygel Marca Ur Sugar ,104500,,COP,1,200,buy_it_now,gold_special,2042-01-13T05:28:41.000Z,new,https://articulo.mercadolibre.com.co/MCO-580744277-kit-constructor-de-unas-acrilicas-en-polygel-marca-ur-sugar-_JM,http://http2.mlstatic.com/D_862608-MCO47973457495_102021-I.jpg,862608-MCO47973457495_102021,True,110000,MCO181071,,MCO-FALSE_NAILS,,23,True,,,,,,140873731,,,False,False,,MCO580744277,"[{'id': '3', 'type': 'standard', 'amount': 110000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-18T05:22:58Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '4', 'type': 'promotion', 'amount': 104500, 'regular_amount': 110000, 'currency_id': 'COP', 'last_updated': '2022-02-14T23:02:15Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-14T05:00:00Z', 'end_time': '2022-02-21T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1618606-MCO580744277', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,2902.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ0tFTjQyODYy,Kennedy,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Kennedy,,,6,Nuevo,Kit polygel,6,1,1,1,UR Sugar
MCO508690167,MCO,Glitter Set X 12 Unds Nail Art Manicura Decoracion De Uñas,10070,,COP,1,250,buy_it_now,gold_pro,2039-03-29T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-508690167-glitter-set-x-12-unds-nail-art-manicura-decoracion-de-unas-_JM,http://http2.mlstatic.com/D_775092-MCO31120696033_062019-I.jpg,775092-MCO31120696033_062019,True,10600,MCO167683,,MCO-NAIL_STICKERS,,22,True,,,,,,333749970,,,False,False,,MCO508690167,"[{'id': '54', 'type': 'standard', 'amount': 10600, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-23T13:13:05Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '86', 'type': 'promotion', 'amount': 9964, 'regular_amount': 10600, 'currency_id': 'COP', 'last_updated': '2022-01-31T17:30:16Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-01-14T17:00:00Z', 'end_time': '2022-03-31T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'INDIVIDUAL-MCO508690167-202201141358565856:MCO508690167', 'promotion_type': 'custom'}}, {'id': '87', 'type': 'promotion', 'amount': 10070, 'regular_amount': 10600, 'currency_id': 'COP', 'last_updated': '2022-01-31T17:30:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-20T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4001', 'promotion_id': 'MCO4001', 'promotion_type': 'campaign'}}, {'id': '88', 'type': 'promotion', 'amount': 10070, 'regular_amount': 10600, 'currency_id': 'COP', 'last_updated': '2022-01-31T17:30:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,839.17,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['self_service_out'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Nuevo,Glitter para uñas X12 Unidades SUGAR,4,0,0,1,
MCO515571839,MCO,Tatuajes Sticker Para Uñas. Carton. 12 Laminas En 1,11500,,COP,50,100,buy_it_now,gold_special,2039-05-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-515571839-tatuajes-sticker-para-unas-carton-12-laminas-en-1-_JM,http://http2.mlstatic.com/D_957579-MCO45440799758_042021-O.jpg,957579-MCO45440799758_042021,True,,MCO167683,,MCO-NAIL_STICKERS,,21,False,,,,,,12737083,,,False,False,,MCO515571839,"[{'id': '1', 'type': 'standard', 'amount': 11500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-02-03T00:17:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,319.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_out'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Suba,,,1,Nuevo,,5,0,1,1,
MCO550724949,MCO,Pulidor De Uñas Kit Electrico Removedor Acrilico Manicure,70000,,COP,250,50,buy_it_now,gold_pro,2040-01-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-550724949-pulidor-de-unas-kit-electrico-removedor-acrilico-manicure-_JM,http://http2.mlstatic.com/D_801944-MCO40575901677_012020-I.jpg,801944-MCO40575901677_012020,True,,MCO167685,,MCO-NAIL_STAMPING_PLATES,,20,True,,,,,,263335107,,,False,False,,MCO550724949,"[{'id': '40881f4b-503c-4f7d-aa78-87affc03fbb0', 'type': 'standard', 'amount': 70000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-21T02:47:19Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,5833.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['self_service_in', 'fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,1,Nuevo,,6,1,1,1,
MCO589572727,MCO,Sticker Tatuajes De Agua Para Las Uñas Unicornios,11500,,COP,1,50,buy_it_now,gold_special,2040-10-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-589572727-sticker-tatuajes-de-agua-para-las-unas-unicornios-_JM,http://http2.mlstatic.com/D_898377-MCO32723472789_102019-I.jpg,898377-MCO32723472789_102019,True,,MCO167683,,MCO-NAIL_STICKERS,,19,True,,,,,,12737083,,,False,False,,MCO589572727,"[{'id': 'cd92eeb2-230c-4c1b-89c3-4344b7450d04', 'type': 'standard', 'amount': 11500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-18T11:29:07Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,319.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Suba,,,1,Nuevo,,6,1,1,1,
