id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO832128371,MCO,Trenza Extension De Cabello Moña Todos Los Tonos Por Unidad ,48500,,COP,500,5,buy_it_now,gold_pro,2041-11-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-832128371-trenza-extension-de-cabello-mona-todos-los-tonos-por-unidad-_JM,http://http2.mlstatic.com/D_939347-MCO48239181335_112021-O.jpg,939347-MCO48239181335_112021,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,50,False,,,,,,255062867,,,False,False,,MCO832128371,"[{'id': '2', 'type': 'standard', 'amount': 48500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-16T11:05:19Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,4041.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,Nuevo,5,0,1,1
MCO523863043,MCO,Extensiones De Cabello Seminatural Extralargas,24900,,COP,5000,500,buy_it_now,gold_pro,2041-06-29T17:55:49.000Z,new,https://articulo.mercadolibre.com.co/MCO-523863043-extensiones-de-cabello-seminatural-extralargas-_JM,http://http2.mlstatic.com/D_759048-MCO48615284603_122021-O.jpg,759048-MCO48615284603_122021,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,49,False,,,,,,255062867,,,False,False,,MCO523863043,"[{'id': '19', 'type': 'standard', 'amount': 24900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-19T06:58:19Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,2075.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,Nuevo,6,1,1,1
MCO527064957,MCO,Extensiones De Cabello Seminatural Rojo Cereza Liso Extralar,34900,,COP,250,50,buy_it_now,gold_special,2039-07-24T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-527064957-extensiones-de-cabello-seminatural-rojo-cereza-liso-extralar-_JM,http://http2.mlstatic.com/D_856809-MCO44958986390_022021-O.jpg,856809-MCO44958986390_022021,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,48,False,,,,,,255062867,,,False,False,,MCO527064957,"[{'id': '3', 'type': 'standard', 'amount': 34900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-03T23:16:22Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,969.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,Nuevo,5,0,1,1
MCO535647484,MCO,24 Pulgadas Extensión De Cabello Crespa Natural,380000,,COP,1,5,buy_it_now,gold_special,2039-09-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-535647484-24-pulgadas-extension-de-cabello-crespa-natural-_JM,http://http2.mlstatic.com/D_642858-MCO27952264869_082018-O.jpg,642858-MCO27952264869_082018,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,47,False,,,,,,271109674,,,False,False,,MCO535647484,"[{'id': '4', 'type': 'standard', 'amount': 380000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-14T15:12:08Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '4', 'type': 'standard', 'amount': 350000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-14T15:12:07Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,10555.56,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Valle Del Cauca,Cali,,,2,Nuevo,5,0,1,1
MCO538229667,MCO,Flequillo O Capul 100% Natural ,48000,,COP,1,25,buy_it_now,gold_special,2039-10-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-538229667-flequillo-o-capul-100-natural-_JM,http://http2.mlstatic.com/D_659386-MCO43767743633_102020-O.jpg,659386-MCO43767743633_102020,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,46,False,,,,,,271109674,,,False,False,,MCO538229667,"[{'id': '2314f3a0-be2e-4a24-96ee-9fec1a912701', 'type': 'standard', 'amount': 48000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-06T07:04:46Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1333.33,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,False,me2,[],drop_off,False,,,,,Colombia,Valle Del Cauca,Cali,,,2,Nuevo,6,1,1,1
MCO480800025,MCO,Capul O Flequillo 100% Natural ,48000,,COP,1,100,buy_it_now,gold_special,2038-08-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-480800025-capul-o-flequillo-100-natural-_JM,http://http2.mlstatic.com/D_804984-MCO43866599776_102020-O.jpg,804984-MCO43866599776_102020,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,45,False,,,,,,271109674,,,False,False,,MCO480800025,"[{'id': '31490037-6490-4363-b304-f70ba75d74e9', 'type': 'standard', 'amount': 48000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-05T20:05:26Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1333.33,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,False,me2,[],drop_off,False,,,,,Colombia,Valle Del Cauca,Cali,,,2,Nuevo,4,0,0,1
MCO534442180,MCO,Extensiones De Cabello Seminatural Largo Cobrizo,39900,,COP,500,25,buy_it_now,gold_special,2041-10-14T01:38:59.000Z,new,https://articulo.mercadolibre.com.co/MCO-534442180-extensiones-de-cabello-seminatural-largo-cobrizo-_JM,http://http2.mlstatic.com/D_914920-MCO48738466493_012022-O.jpg,914920-MCO48738466493_012022,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,44,False,,,,,,255062867,,,False,False,,MCO534442180,"[{'id': '9', 'type': 'standard', 'amount': 39900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-31T12:10:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1108.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,Nuevo,5,0,1,1
MCO541791042,MCO,20 Pulgadas Extensión De Cabello Crespa Natural,320000,,COP,1,25,buy_it_now,gold_special,2039-11-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-541791042-20-pulgadas-extension-de-cabello-crespa-natural-_JM,http://http2.mlstatic.com/D_824064-MCO40557860346_012020-O.jpg,824064-MCO40557860346_012020,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,43,False,,,,,,271109674,,,False,False,,MCO541791042,"[{'id': '5', 'type': 'standard', 'amount': 320000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-14T15:14:51Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '5', 'type': 'standard', 'amount': 290000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-14T15:14:51Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,8888.89,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Valle Del Cauca,Cali,,,2,Nuevo,5,0,1,1
MCO524564860,MCO,Extension Extralarga Cabello Seminatural Ondulado Negro,29900,,COP,250,100,buy_it_now,gold_pro,2041-09-28T19:45:45.000Z,new,https://articulo.mercadolibre.com.co/MCO-524564860-extension-extralarga-cabello-seminatural-ondulado-negro-_JM,http://http2.mlstatic.com/D_696241-MCO47985589760_102021-O.jpg,696241-MCO47985589760_102021,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,42,False,,,,,,255062867,,,False,False,,MCO524564860,"[{'id': '12', 'type': 'standard', 'amount': 29900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-05T11:53:28Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '13', 'type': 'standard', 'amount': 27000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-05T11:53:28Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,2491.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,Nuevo,5,0,1,1
MCO568316764,MCO,Extensiónes De Cabello Semiondulado Castaño Claro Extralargo,44000,,COP,250,150,buy_it_now,gold_pro,2040-07-10T12:40:46.000Z,new,https://articulo.mercadolibre.com.co/MCO-568316764-extensiones-de-cabello-semiondulado-castano-claro-extralargo-_JM,http://http2.mlstatic.com/D_777243-MCO47750603519_102021-O.jpg,777243-MCO47750603519_102021,True,,MCO169110,,MCO-HAIR_EXTENSIONS,,41,False,,,,,,255062867,,,False,False,,MCO568316764,"[{'id': '9', 'type': 'standard', 'amount': 44000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-19T22:01:43Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,3666.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,Nuevo,5,0,1,1
