cod_category,name_category,total_items,parti_num_items,cum_parti_num_items
MCO1574,Hogar y Muebles,4305565,5.43083916544266,5.43083916544266
MCO1132,Juegos y Juguetes,2136362,2.6947075287827293,8.12554669422539
MCO1246,Belleza y Cuidado Personal,2059954,2.5983300361764994,10.723876730401889
MCO1747,Accesorios para Vehículos,1596663,2.013956345894946,12.737833076296834
MCO1430,Ropa y Accesorios,1431321,1.805401647663095,14.543234723959928
MCO1592,Cocina,1260470,1.5898981534050722,16.133132877365
MCO3025,"Libros, Revistas y Comics",1088052,1.3724181183278423,17.505550995692843
MCO1276,Deportes y Fitness,1063357,1.3412689954622936,18.846819991155137
MCO1196,Libros Físicos,1016174,1.2817545567433146,20.128574547898452
MCO1631,Adornos y Decoración del Hogar,860546,1.0854526456957494,21.2140271935942
MCO175794,Herramientas,852205,1.0749316967659441,22.288958890360146
MCO1000,"Electrónica, Audio y Video",824783,1.0403428631065361,23.32930175346668
MCO3937,Relojes y Joyas,810070,1.021784570143555,24.351086323610236
MCO1368,"Arte, Papelería y Mercería",781489,0.9857338278629213,25.33682015147316
MCO1051,Celulares y Teléfonos,740084,0.933507489241822,26.27032764071498
MCO87919,Repuestos Carros y Camionetas,736683,0.9292176262385529,27.199545266953535
MCO176628,Muñecos y Muñecas,678137,0.8553704285351142,28.05491569548865
MCO1648,Computación,665090,0.838913550380556,28.893829245869206
MCO3813,Accesorios para Celulares,615676,0.7765850321672243,29.670414278036432
MCO1384,Bebés,563555,0.710842030228562,30.381256308264994
MCO1071,Animales y Mascotas,542265,0.683987815779988,31.065244124044984
MCO113518,Papelería,480134,0.6056186660428181,31.670862790087803
MCO7155,Iluminación para el Hogar,459712,0.5798593063683805,32.25072209645619
MCO436246,Textiles de Hogar y Decoración,457253,0.576757638292803,32.82747973474899
MCO180800,Salud y Equipamiento Médico,449388,0.5668370935939757,33.394316828342966
MCO1253,Cuidado de la Piel,440622,0.55578006945794,33.950096897800904
MCO118204,"Recuerdos, Piñatería y Fiestas",426868,0.5384314144308998,34.48852831223181
MCO1953,Otras categorías,425150,0.5362644092443029,35.02479272147611
MCO2978,Muñecos y Figuras de Acción,407685,0.5142348716518019,35.53902759312791
MCO1431,Joyería,395690,0.4991049373018422,36.038132530429756
MCO166163,Vajilla y Artículos de Servir,386800,0.4878915053409299,36.52602403577069
MCO118183,Maquillaje,361333,0.45576861763018156,36.98179265340087
MCO432437,"Carcasas, Fundas y Protectores",356465,0.44962834915034794,37.43142100255122
MCO118376,Accesorios de Moda,352089,0.44410866655631503,37.875529669107536
MCO1072,Perros,350335,0.4418962526463668,38.3174259217539
MCO3530,Otros,341811,0.4311444760395258,38.74857039779343
MCO3109,"Equipaje, Bolsos y Carteras",340632,0.42965734034977154,39.1782277381432
MCO5726,Electrodomésticos,338510,0.4269807483788991,39.6052084865221
MCO1263,Cuidado del Cabello,329371,0.41545323941480716,40.02066172593691
MCO5235,Herramientas Manuales,315684,0.3981890950673374,40.41885082100425
MCO1292,Ciclismo,307388,0.3877249070417212,40.80657572804597
MCO3835,Audio,301348,0.38010633234611824,41.18668206039209
MCO1499,Industrias y Oficinas,300728,0.37932429322173516,41.56600635361382
MCO432988,Juegos de Mesa y Cartas,284955,0.35942896562674426,41.92543531924057
